label,source_value,paper_value,tolerance,status
tab:augment s5_compound augmented,0.2588,0.2588,0.0006,ok
tab:augment s5_compound reference,0.2378,0.2378,0.0006,ok
tab:augment s5_compound delta,0.020999999999999963,0.021,0.0006,ok
tab:codemirage seen_family_seen_model n,17993,17993.0,0.6,ok
tab:codemirage seen_family_seen_model f1,0.5086,0.5086,0.0006,ok
tab:codemirage seen_family_seen_model auc,0.9383,0.9383,0.0006,ok
tab:codemirage seen_family_unseen_model n,29973,29973.0,0.6,ok
tab:codemirage seen_family_unseen_model f1,0.4073,0.4073,0.0006,ok
tab:codemirage seen_family_unseen_model auc,0.8681,0.8681,0.0006,ok
tab:codemirage unseen_family n,11999,11999.0,0.6,ok
tab:codemirage unseen_family f1,0.5365,0.5365,0.0006,ok
tab:codemirage unseen_family auc,0.9255,0.9255,0.0006,ok
tab:codemirage overall n,62964,62964.0,0.6,ok
tab:codemirage overall f1,0.4047,0.4047,0.0006,ok
tab:codemirage overall auc,0.9007,0.9007,0.0006,ok
tab:contamgpu s1_in_distribution train,0.9778556232294203,0.9779,0.0006,ok
tab:contamgpu s1_in_distribution held,0.9231699817833118,0.9232,0.0006,ok
tab:contamgpu s1_in_distribution inflation,0.054685641446108546,0.0547,0.0006,ok
tab:contamgpu s1_in_distribution CI lo,0.04465323840801729,0.0447,0.002,ok
tab:contamgpu s1_in_distribution CI hi,0.06414862359559495,0.0641,0.002,ok
tab:contamgpu s2_unseen_generator train,0.9718438164857286,0.9718,0.0006,ok
tab:contamgpu s2_unseen_generator held,0.899021039478867,0.899,0.0006,ok
tab:contamgpu s2_unseen_generator inflation,0.07282277700686157,0.0728,0.0006,ok
tab:contamgpu s2_unseen_generator CI lo,0.06023597322501128,0.0602,0.002,ok
tab:contamgpu s2_unseen_generator CI hi,0.0853466847072589,0.0853,0.002,ok
tab:contamgpu s3_unseen_language train,0.9678930641537763,0.9679,0.0006,ok
tab:contamgpu s3_unseen_language held,0.8632700378089001,0.8633,0.0006,ok
tab:contamgpu s3_unseen_language inflation,0.10462302634487619,0.1046,0.0006,ok
tab:contamgpu s3_unseen_language CI lo,0.09146630719018657,0.0915,0.002,ok
tab:contamgpu s3_unseen_language CI hi,0.1175853197411174,0.1176,0.002,ok
tab:contamgpu s4_unseen_domain train,0.9507500264541388,0.9508,0.0006,ok
tab:contamgpu s4_unseen_domain held,0.8079102388944879,0.8079,0.0006,ok
tab:contamgpu s4_unseen_domain inflation,0.14283978755965088,0.1428,0.0006,ok
tab:contamgpu s4_unseen_domain CI lo,0.126270532486004,0.1263,0.002,ok
tab:contamgpu s4_unseen_domain CI hi,0.15869508771734958,0.1587,0.002,ok
tab:contamgpu s5_compound train,0.9531983102313187,0.9532,0.0006,ok
tab:contamgpu s5_compound held,0.775353779566692,0.7754,0.0006,ok
tab:contamgpu s5_compound inflation,0.1778445306646267,0.1778,0.0006,ok
tab:contamgpu s5_compound CI lo,0.15235013507222575,0.1524,0.002,ok
tab:contamgpu s5_compound CI hi,0.205046202399142,0.205,0.002,ok
tab:axes s1_in_distribution language,0.0,0.0,0.06,ok
tab:axes s1_in_distribution source,0.0,0.0,0.06,ok
tab:axes s1_in_distribution family,0.0,0.0,0.06,ok
tab:axes s1_in_distribution exposure,4.9570670945020545e-05,0.0,0.0006,ok
tab:axes s2_unseen_generator language,0.0,0.0,0.06,ok
tab:axes s2_unseen_generator source,0.0,0.0,0.06,ok
tab:axes s2_unseen_generator family,50.010901955083945,50.0,0.06,ok
tab:axes s2_unseen_generator exposure,0.020015544156284037,0.02,0.0006,ok
tab:axes s3_unseen_language language,100.0,100.0,0.06,ok
tab:axes s3_unseen_language source,0.0,0.0,0.06,ok
tab:axes s3_unseen_language family,6.466283324621013,6.5,0.06,ok
tab:axes s3_unseen_language exposure,0.24306980280544943,0.2431,0.0006,ok
tab:axes s4_unseen_domain language,0.0,0.0,0.06,ok
tab:axes s4_unseen_domain source,100.0,100.0,0.06,ok
tab:axes s4_unseen_domain family,8.093061150590684,8.1,0.06,ok
tab:axes s4_unseen_domain exposure,0.3917129524303303,0.3917,0.0006,ok
tab:axes s5_compound language,100.0,100.0,0.06,ok
tab:axes s5_compound source,100.0,100.0,0.06,ok
tab:axes s5_compound family,8.715596330275229,8.7,0.06,ok
tab:axes s5_compound exposure,0.3443532935558921,0.3444,0.0006,ok
tab:aicdaudit C# rows,94707,94707.0,0.5,ok
tab:aicdaudit JavaScript rows,76232,76232.0,0.5,ok
tab:aicdaudit Golang rows,54194,54194.0,0.5,ok
tab:aicdaudit C rows,43549,43549.0,0.5,ok
tab:aicdaudit PHP rows,9002,9002.0,0.5,ok
tab:aicdaudit Rust rows,6079,6079.0,0.5,ok
aicdbench union rows,283763,283763,0.5,ok
variance design sd,0.0109,0.0109,0.0006,ok
variance seed sd,0.0146,0.0146,0.0006,ok
independent all_classes macro_f1,0.3224,0.3224,0.0006,ok
independent human_machine macro_f1,0.5455,0.5455,0.0006,ok
independent human_machine ci,0.5321,0.5321,0.0006,ok
independent human_machine ci,0.5591,0.5591,0.0006,ok
tab:seedtwin s1_in_distribution seed1,0.0,0.0,0.0006,ok
tab:seedtwin s1_in_distribution seed2,-0.0046,-0.0046,0.0006,ok
tab:seedtwin s1_in_distribution seed3,-0.0014,-0.0014,0.0006,ok
tab:seedtwin s1_in_distribution mean,-0.002,-0.002,0.0006,ok
tab:seedtwin s1_in_distribution sd,0.0024,0.0024,6e-05,ok
tab:seedtwin s2_unseen_generator seed1,0.02,0.02,0.0006,ok
tab:seedtwin s2_unseen_generator seed2,0.0162,0.0162,0.0006,ok
tab:seedtwin s2_unseen_generator seed3,0.0237,0.0237,0.0006,ok
tab:seedtwin s2_unseen_generator mean,0.02,0.02,0.0006,ok
tab:seedtwin s2_unseen_generator sd,0.0038,0.0038,6e-05,ok
tab:seedtwin s3_unseen_language seed1,0.2431,0.2431,0.0006,ok
tab:seedtwin s3_unseen_language seed2,0.2408,0.2408,0.0006,ok
tab:seedtwin s3_unseen_language seed3,0.2374,0.2374,0.0006,ok
tab:seedtwin s3_unseen_language mean,0.2404,0.2404,0.0006,ok
tab:seedtwin s3_unseen_language sd,0.0029,0.0029,6e-05,ok
tab:seedtwin s4_unseen_domain seed1,0.3917,0.3917,0.0006,ok
tab:seedtwin s4_unseen_domain seed2,0.3699,0.3699,0.0006,ok
tab:seedtwin s4_unseen_domain seed3,0.3859,0.3859,0.0006,ok
tab:seedtwin s4_unseen_domain mean,0.3825,0.3825,0.0006,ok
tab:seedtwin s4_unseen_domain sd,0.0113,0.0113,6e-05,ok
tab:seedtwin s5_compound seed1,0.3444,0.3444,0.0006,ok
tab:seedtwin s5_compound seed2,0.3667,0.3667,0.0006,ok
tab:seedtwin s5_compound seed3,0.3456,0.3456,0.0006,ok
tab:seedtwin s5_compound mean,0.3522,0.3522,0.0006,ok
tab:seedtwin s5_compound sd,0.0125,0.0125,6e-05,ok
tab:published s1_in_distribution n,783,783.0,0.5,ok
tab:published s1_in_distribution clean,0.8526,0.8526,0.0006,ok
tab:published s1_in_distribution seen,0.9043,0.9043,0.0006,ok
tab:published s1_in_distribution effect,0.0516,0.0516,0.0006,ok
tab:published s2_unseen_generator n,774,774.0,0.5,ok
tab:published s2_unseen_generator clean,0.8459,0.8459,0.0006,ok
tab:published s2_unseen_generator seen,0.8836,0.8836,0.0006,ok
tab:published s2_unseen_generator effect,0.0377,0.0377,0.0006,ok
tab:published s3_unseen_language n,785,785.0,0.5,ok
tab:published s3_unseen_language clean,0.8156,0.8156,0.0006,ok
tab:published s3_unseen_language seen,0.8857,0.8857,0.0006,ok
tab:published s3_unseen_language effect,0.07,0.07,0.0006,ok
tab:published s4_unseen_domain n,808,808.0,0.5,ok
tab:published s4_unseen_domain clean,0.7482,0.7482,0.0006,ok
tab:published s4_unseen_domain seen,0.9122,0.9122,0.0006,ok
tab:published s4_unseen_domain effect,0.164,0.164,0.0006,ok
tab:published s5_compound n,814,814.0,0.5,ok
tab:published s5_compound clean,0.6928,0.6928,0.0006,ok
tab:published s5_compound seen,0.8658,0.8658,0.0006,ok
tab:published s5_compound effect,0.173,0.173,0.0006,ok
matched generator effect,0.0294,0.0294,0.0006,ok
matched generator ci,0.022,0.022,0.0006,ok
matched generator ci,0.0365,0.0365,0.0006,ok
matched source effect,0.1435,0.1435,0.0006,ok
matched source ci,0.1362,0.1362,0.0006,ok
matched source ci,0.1517,0.1517,0.0006,ok
tab:nolang s1_in_distribution rows,31041,31041.0,0.5,ok
tab:nolang s1_in_distribution exposure,0.0,0.0,0.0006,ok
tab:nolang s1_in_distribution clean,-0.0124,-0.0124,0.0006,ok
tab:nolang s2_unseen_generator rows,21412,21412.0,0.5,ok
tab:nolang s2_unseen_generator exposure,0.0178,0.0178,0.0006,ok
tab:nolang s2_unseen_generator clean,0.0037,0.0037,0.0006,ok
tab:nolang s3_unseen_language rows,26936,26936.0,0.5,ok
tab:nolang s3_unseen_language exposure,0.2431,0.2431,0.0006,ok
tab:nolang s3_unseen_language clean,0.0067,0.0067,0.0006,ok
tab:nolang s4_unseen_domain rows,2541,2541.0,0.5,ok
tab:nolang s4_unseen_domain exposure,0.3836,0.3836,0.0006,ok
tab:nolang s4_unseen_domain clean,0.4105,0.4105,0.0006,ok
tab:nolang s5_compound rows,4168,4168.0,0.5,ok
tab:nolang s5_compound exposure,0.3444,0.3444,0.0006,ok
tab:nolang s5_compound clean,0.3373,0.3373,0.0006,ok
tab:panel s1_in_distribution reference,0.8977,0.8977,0.0006,ok
tab:panel s1_in_distribution codebert,0.8656,0.8656,0.0006,ok
tab:panel s1_in_distribution unixcoder,0.9023,0.9023,0.0006,ok
tab:panel s2_unseen_generator reference,0.8685,0.8685,0.0006,ok
tab:panel s2_unseen_generator codebert,0.8235,0.8235,0.0006,ok
tab:panel s2_unseen_generator unixcoder,0.8714,0.8714,0.0006,ok
tab:panel s3_unseen_language reference,0.5667,0.5667,0.0006,ok
tab:panel s3_unseen_language codebert,0.5312,0.5312,0.0006,ok
